,Unnamed: 0,Date,Close,Var. (%),Open,Low,High,Volume,Hammer
0,0,2016-01-26,4.2,-4.76,4.23,4.12,4.31,"302,717,532",False
1,1,2016-01-27,4.57,8.81,4.22,4.16,4.64,"352,368,579",False
2,2,2016-01-28,4.6,0.66,4.67,4.35,5.13,"618,332,894",False
3,3,2016-01-29,4.84,5.22,4.7,4.52,4.86,"439,826,229",False
4,4,2016-02-01,4.72,-2.48,4.74,4.66,4.86,"245,882,432",False
5,5,2016-02-02,4.3,-8.9,4.56,4.3,4.65,"238,862,902",False
6,6,2016-02-03,4.49,4.42,4.42,4.22,4.52,"324,113,619",False
7,7,2016-02-04,4.73,5.35,4.56,4.36,4.94,"429,188,278",False
8,8,2016-02-05,4.54,-4.02,4.73,4.53,4.78,"244,701,978",False
9,9,2016-02-10,4.31,-5.07,4.3,4.28,4.41,"198,066,317",False
10,10,2016-02-11,4.23,-1.86,4.2,4.12,4.27,"249,244,383",False
11,11,2016-02-12,4.45,5.2,4.37,4.3,4.51,"282,745,752",False
12,12,2016-02-15,4.52,1.57,4.56,4.52,4.6,"129,541,474",False
13,13,2016-02-16,4.44,-1.77,4.5,4.42,4.64,"364,114,497",False
14,14,2016-02-17,4.68,5.41,4.54,4.51,4.82,"392,727,840",False
15,15,2016-02-18,4.59,-1.92,4.69,4.55,4.87,"303,469,287",False
16,16,2016-02-19,4.46,-2.83,4.5,4.4,4.57,"250,595,260",False
17,17,2016-02-22,5.04,13,4.67,4.63,5.04,"390,806,050",False
18,18,2016-02-23,4.92,-2.38,4.95,4.82,5.28,"424,211,218",False
19,19,2016-02-24,4.87,-1.02,4.77,4.65,4.93,"358,950,586",False
20,20,2016-02-25,4.89,0.41,4.81,4.79,5.08,"346,666,368",False
21,21,2016-02-26,4.87,-0.41,5.02,4.83,5.1,"303,071,251",False
22,22,2016-02-29,5.14,5.54,5.08,4.98,5.23,"430,988,316",False
23,23,2016-03-01,5.31,3.31,5.31,5.1,5.37,"425,053,951",False
24,24,2016-03-02,5.65,6.4,5.21,5.15,5.65,"479,617,434",False
25,25,2016-03-03,6.57,16.28,5.85,5.8,6.8,"1,175,567,290",False
26,26,2016-03-04,7.22,9.89,7.9,6.9,7.9,"1,294,776,987",False
27,27,2016-03-07,7.37,2.08,7.25,6.95,7.53,"620,017,158",False
28,28,2016-03-08,7.47,1.36,7.37,7.08,7.84,"1,020,738,081",False
29,29,2016-03-09,7.6,1.74,7.7,7.36,7.78,"646,121,853",False
30,30,2016-03-10,7.95,4.61,7.8,7.31,7.96,"900,474,457",False
31,31,2016-03-11,8.09,1.76,7.94,7.67,8.22,"737,423,978",False
32,32,2016-03-14,7.4,-8.53,7.4,7.4,8.2,"655,229,814",False
33,33,2016-03-15,6.61,-10.68,6.61,6.56,6.96,"698,485,643",False
34,34,2016-03-16,7.23,9.38,6.51,6.41,7.23,"584,312,229",False
35,35,2016-03-17,8.1,12.03,8.15,7.71,8.19,"943,356,446",False
36,36,2016-03-18,8.12,0.25,8.09,7.72,8.17,"608,847,049",False
37,37,2016-03-21,8.06,-0.74,8.08,7.93,8.27,"526,247,185",False
38,38,2016-03-22,8.11,0.62,7.85,7.73,8.18,"669,341,665",False
39,39,2016-03-23,7.78,-4.07,7.88,7.66,7.96,"473,396,702",False
40,40,2016-03-24,7.81,0.39,7.53,7.32,8.0,"398,617,252",False
41,41,2016-03-28,8.44,8.07,8.15,7.91,8.48,"568,050,120",False
42,42,2016-03-29,8.49,0.59,8.34,8.19,8.85,"755,373,210",False
43,43,2016-03-30,8.44,-0.59,8.7,8.28,9.0,"777,981,015",False
44,44,2016-03-31,8.35,-1.07,8.36,8.19,8.63,"583,425,870",False
45,45,2016-04-01,8.36,0.12,8.05,7.94,8.41,"603,182,310",False
46,46,2016-04-04,7.58,-9.33,8.0,7.53,8.18,"549,510,030",False
47,47,2016-04-05,7.83,3.3,7.55,7.41,8.05,"586,195,354",False
48,48,2016-04-06,7.58,-3.19,7.77,7.58,7.96,"544,294,754",False
49,49,2016-04-07,7.7,1.58,7.79,7.6,7.85,"355,436,294",False
50,50,2016-04-08,8.26,7.27,8.13,8.04,8.34,"690,402,630",False
51,51,2016-04-11,8.39,1.57,8.43,8.34,8.58,"516,665,758",False
52,52,2016-04-12,9.03,7.63,8.55,8.49,9.15,"757,541,727",False
53,53,2016-04-13,9.51,5.32,9.41,9.29,9.74,"1,008,350,714",False
54,54,2016-04-14,9.16,-3.68,9.16,9.12,9.77,"716,163,557",False
55,55,2016-04-15,9.69,5.79,9.25,9.07,9.83,"895,806,404",False
56,56,2016-04-18,9.24,-4.64,9.65,8.89,9.72,"825,145,523",False
57,57,2016-04-19,9.62,4.11,9.48,9.34,9.67,"545,078,948",False
58,58,2016-04-20,9.48,-1.46,9.48,9.34,9.64,"503,958,256",False
59,59,2016-04-22,9.75,2.85,9.32,9.29,9.93,"612,373,023",False
60,60,2016-04-25,9.33,-4.31,9.71,9.33,9.9,"532,753,536",False
61,61,2016-04-26,9.67,3.64,9.48,9.34,9.74,"385,231,571",False
62,62,2016-04-27,10.25,6,9.85,9.77,10.3,"861,495,999",False
63,63,2016-04-28,10.23,-0.2,10.23,10.08,10.54,"592,154,574",False
64,64,2016-04-29,10.23,0,10.41,10.01,10.49,"548,271,650",False
65,65,2016-05-02,10.17,-0.59,10.25,9.93,10.36,"488,790,203",False
66,66,2016-05-03,9.78,-3.83,10.01,9.71,10.09,"458,544,376",False
67,67,2016-05-04,9.92,1.43,9.85,9.85,10.15,"428,761,814",False
68,68,2016-05-05,9.81,-1.11,10.28,9.6,10.3,"647,812,356",False
69,69,2016-05-06,10.08,2.75,9.63,9.58,10.13,"448,185,357",False
70,70,2016-05-09,9.48,-5.95,10.01,8.84,10.05,"888,858,988",False
71,71,2016-05-10,10.21,7.7,9.82,9.72,10.21,"520,272,308",False
72,72,2016-05-11,10.25,0.39,10.39,9.99,10.5,"762,187,873",False
73,73,2016-05-12,9.79,-4.49,10.4,9.79,10.47,"675,049,775",False
74,74,2016-05-13,9.46,-3.37,9.93,9.39,10.06,"668,260,190",False
75,75,2016-05-16,9.75,3.07,9.55,9.52,9.85,"596,170,942",False
76,76,2016-05-17,9.5,-2.56,9.83,9.46,9.88,"443,574,401",False
77,77,2016-05-18,9.32,-1.89,9.31,9.27,9.65,"487,168,921",False
78,78,2016-05-19,8.96,-3.86,9.25,8.65,9.25,"666,273,733",False
79,79,2016-05-20,8.9,-0.67,9.2,8.9,9.46,"594,326,190",False
80,80,2016-05-23,8.5,-4.49,8.55,8.42,8.67,"434,582,535",False
81,81,2016-05-24,8.53,0.35,8.69,8.45,8.85,"384,329,922",False
82,82,2016-05-25,8.67,1.64,8.68,8.59,8.94,"395,885,753",False
83,83,2016-05-27,8.23,-5.08,8.5,8.23,8.57,"391,352,150",False
84,84,2016-05-30,8.38,1.82,8.18,8.06,8.62,"265,184,518",False
85,85,2016-05-31,8.04,-4.06,8.36,8.04,8.57,"480,428,979",False
86,86,2016-06-01,8.18,1.74,8.09,7.86,8.25,"367,903,010",False
