,Date,Close,Var. (%),Open,Low,High,Volume,Support,Resistance,Hammer,WilliamR,Williams%R,12EMA,26 EMA,MACD LINE,SIGNAL LINE,HISTOGRAM,ZeroCross,SignalCross,Decision
0,2016-01-26,4.2,-4.76,4.23,4.12,4.31,"302,717,532",0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-1
1,2016-01-27,4.57,8.81,4.22,4.16,4.64,"352,368,579",0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-1
2,2016-01-28,4.6,0.66,4.67,4.35,5.13,"618,332,894",0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-1
3,2016-01-29,4.84,5.22,4.7,4.52,4.86,"439,826,229",0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-1
4,2016-02-01,4.72,-2.48,4.74,4.66,4.86,"245,882,432",0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-1
5,2016-02-02,4.3,-8.9,4.56,4.3,4.65,"238,862,902",0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-1
6,2016-02-03,4.49,4.42,4.42,4.22,4.52,"324,113,619",1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-1
7,2016-02-04,4.73,5.35,4.56,4.36,4.94,"429,188,278",0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-1
8,2016-02-05,4.54,-4.02,4.73,4.53,4.78,"244,701,978",0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-1
9,2016-02-10,4.31,-5.07,4.3,4.28,4.41,"198,066,317",0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-1
10,2016-02-11,4.23,-1.86,4.2,4.12,4.27,"249,244,383",1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-1
11,2016-02-12,4.45,5.2,4.37,4.3,4.51,"282,745,752",0,0,0.0,0.0,0,4.498333333,0.0,4.498333333,0.0,0.0,,,-1
12,2016-02-15,4.52,1.57,4.56,4.52,4.6,"129,541,474",0,0,0.0,0.0,0,4.501666667,0.0,4.501666667,0.0,0.0,,,-1
13,2016-02-16,4.44,-1.77,4.5,4.42,4.64,"364,114,497",0,0,0.0,-0.68,0,4.492179487,0.0,4.492179487,0.0,0.0,,,-1
14,2016-02-17,4.68,5.41,4.54,4.51,4.82,"392,727,840",0,0,0.0,-0.45,0,4.521074951,0.0,4.521074951,0.0,0.0,,,-1
15,2016-02-18,4.59,-1.92,4.69,4.55,4.87,"303,469,287",0,0,0.0,-0.53,0,4.531678804,0.0,4.531678804,0.0,0.0,,,-1
16,2016-02-19,4.46,-2.83,4.5,4.4,4.57,"250,595,260",0,0,0.0,-0.59,0,4.520651296,0.0,4.520651296,0.0,0.0,,,-1
17,2016-02-22,5.04,13,4.67,4.63,5.04,"390,806,050",0,0,0.0,0.0,1,4.600551097,0.0,4.600551097,0.0,0.0,,,-1
18,2016-02-23,4.92,-2.38,4.95,4.82,5.28,"424,211,218",0,0,0.0,-0.31,0,4.649697082,0.0,4.649697082,0.0,0.0,,,-1
19,2016-02-24,4.87,-1.02,4.77,4.65,4.93,"358,950,586",0,0,0.0,-0.35,0,4.683589838,0.0,4.683589838,0.0,0.0,,,-1
20,2016-02-25,4.89,0.41,4.81,4.79,5.08,"346,666,368",0,0,0.0,-0.34,0,4.715345248,0.0,4.715345248,0.0,0.0,,,-1
21,2016-02-26,4.87,-0.41,5.02,4.83,5.1,"303,071,251",0,0,0.0,-0.35,0,4.739138287,0.0,4.739138287,0.0,0.0,,,-1
22,2016-02-29,5.14,5.54,5.08,4.98,5.23,"430,988,316",0,0,0.0,-0.12,1,4.80080932,0.0,4.80080932,0.0,0.0,,,-1
23,2016-03-01,5.31,3.31,5.31,5.1,5.37,"425,053,951",0,0,0.0,-0.05,1,4.879146347,0.0,4.879146347,0.0,0.0,,,-1
24,2016-03-02,5.65,6.4,5.21,5.15,5.65,"479,617,434",0,0,0.0,0.0,1,4.997739217,0.0,4.997739217,0.0,0.0,,,-1
25,2016-03-03,6.57,16.28,5.85,5.8,6.8,"1,175,567,290",0,0,0.0,-0.1,1,5.239625491,4.766538462,0.47308703,0.0,0.0,,,-1
26,2016-03-04,7.22,9.89,7.9,6.9,7.9,"1,294,776,987",0,0,0.0,-0.19,1,5.544298493,4.948276353,0.596022139,0.0,0.0,,,1
27,2016-03-07,7.37,2.08,7.25,6.95,7.53,"620,017,158",0,0,0.0,-0.15,1,5.825175648,5.12766329,0.697512358,0.0,0.0,,,0
28,2016-03-08,7.47,1.36,7.37,7.08,7.84,"1,020,738,081",0,0,0.0,-0.12,1,6.078225548,5.301169713,0.777055835,0.0,0.0,,,0
29,2016-03-09,7.6,1.74,7.7,7.36,7.78,"646,121,853",0,0,0.0,-0.09,1,6.312344694,5.471453438,0.840891256,0.0,0.0,,,0
30,2016-03-10,7.95,4.61,7.8,7.31,7.96,"900,474,457",0,0,0.0,0.0,1,6.564291665,5.65504948,0.909242185,0.0,0.0,,,2
31,2016-03-11,8.09,1.76,7.94,7.67,8.22,"737,423,978",0,1,0.0,-0.04,1,6.799016024,5.835416185,0.963599839,0.0,0.0,,,0
32,2016-03-14,7.4,-8.53,7.4,7.4,8.2,"655,229,814",0,0,0.0,-0.23,0,6.891475097,5.951311282,0.940163815,0.0,0.0,,,0
33,2016-03-15,6.61,-10.68,6.61,6.56,6.96,"698,485,643",0,0,0.0,-0.47,0,6.848171236,6.000103039,0.848068197,0.782849184,0.065219013,1,1,1
34,2016-03-16,7.23,9.38,6.51,6.41,7.23,"584,312,229",1,0,0.0,-0.29,0,6.906914123,6.091206518,0.815707605,0.789420868,0.026286737,1,1,0
35,2016-03-17,8.1,12.03,8.15,7.71,8.19,"943,356,446",0,0,0.0,-0.04,1,7.090465796,6.240006035,0.850459761,0.801628647,0.048831115,1,1,2
36,2016-03-18,8.12,0.25,8.09,7.72,8.17,"608,847,049",0,0,0.0,-0.03,1,7.248855674,6.379264847,0.869590827,0.815221083,0.054369744,1,1,0
37,2016-03-21,8.06,-0.74,8.08,7.93,8.27,"526,247,185",0,0,0.0,-0.07,1,7.373647109,6.503763747,0.869883361,0.826153538,0.043729823,1,1,0
38,2016-03-22,8.11,0.62,7.85,7.73,8.18,"669,341,665",0,0,0.0,-0.06,1,7.486932169,6.622744211,0.864187958,0.833760422,0.030427536,1,1,0
39,2016-03-23,7.78,-4.07,7.88,7.66,7.96,"473,396,702",0,0,0.0,-0.26,0,7.532019527,6.708466862,0.823552666,0.831718871,-0.008166205,1,0,1
40,2016-03-24,7.81,0.39,7.53,7.32,8.0,"398,617,252",1,0,0.0,-0.25,0,7.574785754,6.790061909,0.784723845,0.822319866,-0.037596021,1,0,0
41,2016-03-28,8.44,8.07,8.15,7.91,8.48,"568,050,120",0,0,0.0,-0.02,1,7.707895638,6.912279545,0.795616093,0.816979111,-0.021363018,1,0,0
42,2016-03-29,8.49,0.59,8.34,8.19,8.85,"755,373,210",0,0,0.0,-0.15,1,7.828219386,7.029147727,0.799071659,0.813397621,-0.014325962,1,0,2
43,2016-03-30,8.44,-0.59,8.7,8.28,9.0,"777,981,015",0,1,0.0,-0.22,0,7.92233948,7.133655303,0.788684178,0.808454932,-0.019770755,1,0,0
44,2016-03-31,8.35,-1.07,8.36,8.19,8.63,"583,425,870",0,0,0.0,-0.25,0,7.988133407,7.22375491,0.764378496,0.799639645,-0.035261149,1,0,0
45,2016-04-01,8.36,0.12,8.05,7.94,8.41,"603,182,310",0,0,0.0,-0.25,0,8.045343652,7.307921213,0.737422439,0.787196204,-0.049773765,1,0,0
46,2016-04-04,7.58,-9.33,8.0,7.53,8.18,"549,510,030",0,0,0.0,-0.55,0,7.973752321,7.328075197,0.645677123,0.758892388,-0.113215264,1,0,0
47,2016-04-05,7.83,3.3,7.55,7.41,8.05,"586,195,354",1,0,0.0,-0.45,0,7.951636579,7.365254812,0.586381767,0.724390263,-0.138008497,1,0,2
48,2016-04-06,7.58,-3.19,7.77,7.58,7.96,"544,294,754",0,0,0.0,-0.85,2,7.894461721,7.381161863,0.513299857,0.682172182,-0.168872325,1,0,1
49,2016-04-07,7.7,1.58,7.79,7.6,7.85,"355,436,294",0,0,0.0,-0.77,0,7.864544533,7.404779503,0.45976503,0.637690752,-0.177925722,1,0,0
50,2016-04-08,8.26,7.27,8.13,8.04,8.34,"690,402,630",0,0,0.0,-0.44,0,7.925383836,7.468129169,0.457254666,0.601603535,-0.144348869,1,0,0
51,2016-04-11,8.39,1.57,8.43,8.34,8.58,"516,665,758",0,0,0.0,-0.36,0,7.996863245,7.536415898,0.460447348,0.573372297,-0.112924949,1,0,0
52,2016-04-12,9.03,7.63,8.55,8.49,9.15,"757,541,727",0,0,0.0,-0.07,1,8.155807362,7.647051757,0.508755604,0.560448959,-0.051693354,1,0,0
53,2016-04-13,9.51,5.32,9.41,9.29,9.74,"1,008,350,714",0,0,0.0,-0.1,1,8.364144691,7.785047923,0.579096767,0.56417852,0.014918247,1,1,0
54,2016-04-14,9.16,-3.68,9.16,9.12,9.77,"716,163,557",0,0,0.0,-0.26,0,8.486583969,7.886896225,0.599687744,0.571280365,0.028407379,1,1,0
55,2016-04-15,9.69,5.79,9.25,9.07,9.83,"895,806,404",0,1,0.0,-0.06,1,8.671724897,8.020459468,0.651265429,0.587277378,0.063988051,1,1,2
56,2016-04-18,9.24,-4.64,9.65,8.89,9.72,"825,145,523",0,0,0.0,-0.24,0,8.759151836,8.110795803,0.648356032,0.599493109,0.048862923,1,1,1
57,2016-04-19,9.62,4.11,9.48,9.34,9.67,"545,078,948",0,0,0.0,-0.09,1,8.891590015,8.222588707,0.669001308,0.613394749,0.055606559,1,1,0
58,2016-04-20,9.48,-1.46,9.48,9.34,9.64,"503,958,256",0,0,0.0,-0.14,1,8.982114628,8.315730284,0.666384344,0.623992668,0.042391676,1,1,2
59,2016-04-22,9.75,2.85,9.32,9.29,9.93,"612,373,023",0,0,0.0,-0.07,1,9.100250839,8.421972485,0.678278354,0.634849805,0.043428549,1,1,0
